"authors","title","journal","issue","volume","pages","article_no","doi","doctype","year","date","database","ExportDate"
"Mega, R., Kim, J., Tanaka, H., Ishii, T., Abe, F., Okamoto, M.","Metabolic and transcriptomic profiling during wheat seed development under  progressive drought conditions.","Scientific reports","1","13","15001","10.1038/s41598-023-42093-2 [doi]","10.1038/s41598-023-42093-2","Journal Article","2023","Sep 11","PubMed",2024-01-29
"Sommer, K., Reuter, S., Elinkmann, M., Kohrer, A., Quarles, C.D.J., Hippler, M., Karst, U.","Species-dependent uptake of gadolinium in Chlamydomonas reinhardtii algae.","The Science of the total environment",NA,"905","166909","S0048-9697(23)05534-1 [pii]","10.1016/j.scitotenv.2023.166909","Journal Article","2023","Dec 20","PubMed",2024-01-29
"Kamal, N.M., Gorafi, Y.S.A., Tomemori, H., Kim, J., Elhadi, G.M.I., Tsujimoto, H.","Genetic variation for grain nutritional profile and yield potential in sorghum  and the possibility of selection for drought tolerance under irrigated  conditions.","BMC genomics","1","24","515","10.1186/s12864-023-09613-w [doi]","10.1186/s12864-023-09613-w","Journal Article","2023","Sep 2","PubMed",2024-01-29
"Okegawa, Y.","PCP Research Highlights: Regulatory Role of Three Important Post-Translational  Modifications in Chloroplast Proteins.","Plant & cell physiology","10","64","1119-1123","10.1093/pcp/pcad097 [doi]","10.1093/pcp/pcad097","Journal Article","2023","Oct 16","PubMed",2024-01-29
"Kojima, M., Makita, N., Miyata, K., Yoshino, M., Iwase, A., Ohashi, M., Surjana, A., Kudo, T., Takeda-Kamiya, N., Toyooka, K., Miyao, A., Hirochika, H., Ando, T., Shomura, A., Yano, M., Yamamoto, T., Hobo, T., Sakakibara, H.","A cell wall-localized cytokinin/purine riboside nucleosidase is involved in  apoplastic cytokinin metabolism in Oryza sativa.","Proceedings of the National Academy of Sciences of the United States of America","36","120","e2217708120","10.1073/pnas.2217708120 [doi]","10.1073/pnas.2217708120","Journal Article","2023","Sep 5","PubMed",2024-01-29
"Kuhn, J.H., Abe, J., Adkins, S., Alkhovsky, S.V., Avsic-Zupanc, T., Ayllon, M.A., Bahl, J., Balkema-Buschmann, A., Ballinger, M.J., Kumar Baranwal, V., Beer, M., Bejerman, N., Bergeron, E., Biedenkopf, N., Blair, C.D., Blasdell, K.R., Blouin, A.G., Bradfute, S.B., Briese, T., Brown, P.A., Buchholz, U.J., Buchmeier, M.J., Bukreyev, A., Burt, F., Buttner, C., Calisher, C.H., Cao, M., Casas, I., Chandran, K., Charrel, R.N., Kumar Chaturvedi, K., Chooi, K.M., Crane, A., Dal Bo, E., Carlos de la Torre, J., de Souza, W.M., de Swart, R.L., Debat, H., Dheilly, N.M., Di Paola, N., Di Serio, F., Dietzgen, R.G., Digiaro, M., Drexler, J.F., Duprex, W.P., Durrwald, R., Easton, A.J., Elbeaino, T., Ergunay, K., Feng, G., Firth, A.E., Fooks, A.R., Formenty, P.B.H., Freitas-Astua, J., Gago-Zachert, S., Laura Garcia, M., Garcia-Sastre, A., Garrison, A.R., Gaskin, T.R., Gong, W., Gonzalez, J.J., de Bellocq, J., Griffiths, A., Groschup, M.H., Gunther, I., Gunther, S., Hammond, J., Hasegawa, Y., Hayashi, K., Hepojoki, J., Higgins, C.M., Hongo, S., Horie, M., Hughes, H.R., Hume, A.J., Hyndman, T.H., Ikeda, K., Jiang, D., Jonson, G.B., Junglen, S., Klempa, B., Klingstrom, J., Kondo, H., Koonin, E.V., Krupovic, M., Kubota, K., Kurath, G., Laenen, L., Lambert, A.J., Li, J., Li, J., Liu, R., Lukashevich, I.S., MacDiarmid, R.M., Maes, P., Marklewitz, M., Marshall, S.H., Marzano, S.L., McCauley, J.W., Mirazimi, A., Muhlberger, E., Nabeshima, T., Naidu, R., Natsuaki, T., Navarro, B., Navarro, J.A., Neriya, Y., Netesov, S.V., Neumann, G., Nowotny, N., Nunes, M.R.T., Ochoa-Corona, F.M., Okada, T., Palacios, G., Pallas, V., Papa, A., Paraskevopoulou, S., Parrish, C.R., Pauvolid-Correa, A., Paweska, J.T., Perez, D.R., Pfaff, F., Plemper, R.K., Postler, T.S., Rabbidge, L.O., Radoshitzky, S.R., Ramos-Gonzalez, P.L., Rehanek, M., Resende, R.O., Reyes, C.A., Rodrigues, T.C.S., Romanowski, V., Rubbenstroth, D., Rubino, L., Runstadler, J.A., Sabanadzovic, S., Sadiq, S., Salvato, M.S., Sasaya, T., Schwemmle, M., Sharpe, S.R., Shi, M., Shimomoto, Y., Kavi Sidharthan, V., Sironi, M., Smither, S., Song, J., Spann, K.M., Spengler, J.R., Stenglein, M.D., Takada, A., Takeyama, S., Tatara, A., Tesh, R.B., Thornburg, N.J., Tian, X., Tischler, N.D., Tomitaka, Y., Tomonaga, K., Tordo, N., Tu, C., Turina, M., Tzanetakis, I.E., Maria Vaira, A., van den Hoogen, B., Vanmechelen, B., Vasilakis, N., Verbeek, M., von Bargen, S., Wada, J., Wahl, V., Walker, P.J., Waltzek, T.B., Whitfield, A.E., Wolf, Y.I., Xia, H., Xylogianni, E., Yanagisawa, H., Yano, K., Ye, G., Yuan, Z., Zerbini, F.M., Zhang, G., Zhang, S., Zhang, Y., Zhao, L., Okland, A.L.","Annual (2023) taxonomic update of RNA-directed RNA polymerase-encoding  negative-sense RNA viruses (realm Riboviria: kingdom Orthornavirae: phylum  Negarnaviricota).","The Journal of general virology","8","104",NA,"10.1099/jgv.0.001864 [doi]","10.1099/jgv.0.001864","Letter","2023","Aug","PubMed",2024-01-29
"Ushio, M., Ishikawa, T., Matsuura, T., Mori, I.C., Kawai-Yamada, M., Fukao, Y., Nagano, M.","MHP1 and MHL generate odd-chain fatty acids from 2-hydroxy fatty acids in  sphingolipids and are related to immunity in Arabidopsis thaliana.","Plant science : an international journal of experimental plant biology",NA,"336","111840","S0168-9452(23)00257-1 [pii]","10.1016/j.plantsci.2023.111840","Journal Article","2023","Nov","PubMed",2024-01-29
"Chang, J., Huang, S., Wiseno, I., Sui, F., Feng, F., Zheng, L., Ma, J.F., Zhao, F.","Dissecting the promotional effect of zinc on cadmium translocation from roots to  shoots in rice.","Journal of experimental botany","21","74","6790-6803","10.1093/jxb/erad330 [doi]","10.1093/jxb/erad330","Journal Article","2023","Nov 21","PubMed",2024-01-29
"Okegawa, Y., Sato, N., Nakakura, R., Murai, R., Sakamoto, W., Motohashi, K.","x- and y-type thioredoxins maintain redox homeostasis on photosystem I acceptor  side under fluctuating light.","Plant physiology","4","193","2498-2512","10.1093/plphys/kiad466 [doi]","10.1093/plphys/kiad466","Journal Article","2023","Nov 22","PubMed",2024-01-29
"Osinde, C., Sobhy, I.S., Wari, D., Dinh, S.T., Hojo, Y., Osibe, D.A., Shinya, T., Tugume, A.K., Nsubuga, A.M., Galis, I.","Comparative analysis of sorghum (C4) and rice (C3) plant headspace volatiles  induced by artificial herbivory.","Plant signaling & behavior","1","18","2243064","10.1080/15592324.2023.2243064 [doi]","10.1080/15592324.2023.2243064","Journal Article","2023","Dec 31","PubMed",2024-01-29
"Wang, P., Ma, J.F.","Knockout of a gene encoding a Ggamma protein boosts alkaline tolerance in cereal  crops.","aBIOTECH","2","4","180-183","10.1007/s42994-023-00106-8 [doi]","10.1007/s42994-023-00106-8","Editorial","2023","Jun","PubMed",2024-01-29
"Purwestri, Y.A., Nurbaiti, S., Putri, S.P.M., Wahyuni, I.M., Yulyani, S.R., Sebastian, A., Nuringtyas, T.R., Yamaguchi, N.","Seed Halopriming: A Promising Strategy to Induce Salt Tolerance in Indonesian  Pigmented Rice.","Plants (Basel, Switzerland)","15","12",NA,"10.3390/plants12152879 [doi]","10.3390/plants12152879","Journal Article","2023","Aug 5","PubMed",2024-01-29
"Zhao, M., Nakamura, T., Nakamura, Y., Munemasa, S., Mori, I.C., Murata, Y.","The effect of exogenous dihydroxyacetone and methylglyoxal on growth, anthocyanin  accumulation, and the glyoxalase system in Arabidopsis.","Bioscience, biotechnology, and biochemistry","11","87","1323-1331","10.1093/bbb/zbad109 [doi]","10.1093/bbb/zbad109","Journal Article","2023","Oct 25","PubMed",2024-01-29
"Cao, X., Wang, Z., Pang, J., Sun, L., Kondo, H., Andika, I.B.","Identification of a novel dicistro-like virus associated with the roots of tomato  plants.","Archives of virology","8","168","214","10.1007/s00705-023-05843-1 [doi]","10.1007/s00705-023-05843-1","Journal Article","2023","Jul 31","PubMed",2024-01-29
"Zinzius, K., Marchetti, G.M., Fischer, R., Milrad, Y., Oltmanns, A., Kelterborn, S., Yacoby, I., Hegemann, P., Scholz, M., Hippler, M.","Calredoxin regulates the chloroplast NADPH-dependent thioredoxin reductase in  Chlamydomonas reinhardtii.","Plant physiology","3","193","2122-2140","10.1093/plphys/kiad426 [doi]","10.1093/plphys/kiad426","Journal Article","2023","Oct 26","PubMed",2024-01-29
"Ikeda, H.","Virtual issue: phylogeographic studies in the Japanese Archipelago: from  geographic patterns of genetic variation to biodiversity in plants.","Journal of plant research","5","136","581-585","10.1007/s10265-023-01478-0 [doi]","10.1007/s10265-023-01478-0","Editorial","2023","Sep","PubMed",2024-01-29
"Andika, I.B., Tian, M., Bian, R., Cao, X., Luo, M., Kondo, H., Sun, L.","Cross-Kingdom Interactions Between Plant and Fungal Viruses.","Annual review of virology","1","10","119-138","10.1146/annurev-virology-111821-122539 [doi]","10.1146/annurev-virology-111821-122539","Journal Article","2023","Sep 29","PubMed",2024-01-29
"Kanda, Y., Shinya, T., Maeda, S., Mujiono, K., Hojo, Y., Tomita, K., Okada, K., Kamakura, T., Galis, I., Mori, M.","BSR1, a Rice Receptor-like Cytoplasmic Kinase, Positively Regulates Defense  Responses to Herbivory.","International journal of molecular sciences","12","24",NA,"10.3390/ijms241210395 [doi]","10.3390/ijms241210395","Journal Article","2023","Jun 20","PubMed",2024-01-29
"Ning, M., Liu, S.J., Deng, F., Huang, L., Li, H., Che, J., Yamaji, N., Hu, F., Lei, G.J.","A vacuolar transporter plays important roles in zinc and cadmium accumulation in  rice grain.","The New phytologist","5","239","1919-1934","10.1111/nph.19070 [doi]","10.1111/nph.19070","Journal Article","2023","Sep","PubMed",2024-01-29
"Uchida, K., Kim, J., Sato, M., Tabeta, H., Mochida, K., Hirai, M.Y.","A metabolome genome-wide association study implicates histidine  N-pi-methyltransferase as a key enzyme in N-methylhistidine biosynthesis in  Arabidopsis thaliana.","Frontiers in plant science",NA,"14","1201129","10.3389/fpls.2023.1201129 [doi]","10.3389/fpls.2023.1201129","Journal Article","2023","","PubMed",2024-01-29
"Sato, Y., Hisano, S., Suzuki, N.","Exploration of the yadokari/yadonushi nature of YkV3 and RnMBV3 in the original  host and a model filamentous fungus.","Virus research",NA,"334","199155","S0168-1702(23)00117-X [pii]","10.1016/j.virusres.2023.199155","Journal Article","2023","Sep","PubMed",2024-01-29
"Sato, Y., Suzuki, N.","Continued mycovirus discovery expanding our understanding of virus lifestyles,  symptom expression, and host defense.","Current opinion in microbiology",NA,"75","102337","S1369-5274(23)00074-7 [pii]","10.1016/j.mib.2023.102337","Journal Article","2023","Oct","PubMed",2024-01-29
"Potlapalli, B.P., Ishii, T., Nagaki, K., Somasundaram, S., Houben, A.","CRISPR-FISH: A CRISPR/Cas9-Based In Situ Labeling Method.","Methods in molecular biology (Clifton, N.J.)",NA,"2672","315-335","10.1007/978-1-0716-3226-0_20 [doi]","10.1007/978-1-0716-3226-0_20","Journal Article","2023","","PubMed",2024-01-29
"Zerbini, F.M., Siddell, S.G., Lefkowitz, E.J., Mushegian, A.R., Adriaenssens, E.M., Alfenas-Zerbini, P., Dempsey, D.M., Dutilh, B.E., Garcia, M.L., Hendrickson, R.C., Junglen, S., Krupovic, M., Kuhn, J.H., Lambert, A.J., Lobocka, M., Oksanen, H.M., Robertson, D.L., Rubino, L., Sabanadzovic, S., Simmonds, P., Smith, D.B., Suzuki, N., Van Doorslaer, K., Vandamme, A., Varsani, A.","Changes to virus taxonomy and the ICTV Statutes ratified by the International  Committee on Taxonomy of Viruses (2023).","Archives of virology","7","168","175","10.1007/s00705-023-05797-4 [doi]","10.1007/s00705-023-05797-4","Journal Article","2023","Jun 10","PubMed",2024-01-29
"Chiba, S., Velasco, L., Ayllon, M.A., Suzuki, N., Lee-Marzano, S., Sun, L., Sabanadzovic, S., Turina, M.","ICTV Virus Taxonomy Profile: Hypoviridae 2023.","The Journal of general virology","5","104",NA,"10.1099/jgv.0.001848 [doi]","10.1099/jgv.0.001848","Journal Article","2023","May","PubMed",2024-01-29
"Kimura, S., Vaattovaara, A., Ohshita, T., Yokoyama, K., Yoshida, K., Hui, A., Kaya, H., Ozawa, A., Kobayashi, M., Mori, I.C., Ogata, Y., Ishino, Y., Sugano, S.S., Nagano, M., Fukao, Y.","Zinc deficiency-induced defensin-like proteins are involved in the inhibition of  root growth in Arabidopsis.","The Plant journal : for cell and molecular biology","4","115","1071-1083","10.1111/tpj.16281 [doi]","10.1111/tpj.16281","Journal Article","2023","Aug","PubMed",2024-01-29
"Raco, M., Jung, T., Horta Jung, M., Chi, N.M., Botella, L., Suzuki, N.","Sequence and phylogenetic analysis of a novel alphaendornavirus, the first virus  described from the oomycete plant pathogen Phytophthora heveae.","Archives of virology","6","168","158","10.1007/s00705-023-05786-7 [doi]","10.1007/s00705-023-05786-7","Journal Article","2023","May 11","PubMed",2024-01-29
"Ube, N., Ishihara, A., Yabuta, Y., Taketa, S., Kato, Y., Nomura, T.","Molecular identification of a laccase that catalyzes the oxidative coupling of a  hydroxycinnamic acid amide for hordatine biosynthesis in barley.","The Plant journal : for cell and molecular biology","4","115","1037-1050","10.1111/tpj.16278 [doi]","10.1111/tpj.16278","Journal Article","2023","Aug","PubMed",2024-01-29
"Sakaba, T., Soejima, A., Fujii, S., Ikeda, H., Iwasaki, T., Saito, H., Suyama, Y., Matsuo, A., Kozhevnikov, A.E., Kozhevnikova, Z.V., Wang, H., Wang, S., Pak, J., Fujii, N.","Phylogeography of the temperate grassland plant Tephroseris kirilowii  (Asteraceae) inferred from multiplexed inter-simple sequence repeat genotyping by  sequencing (MIG-seq) data.","Journal of plant research","4","136","437-452","10.1007/s10265-023-01452-w [doi]","10.1007/s10265-023-01452-w","Journal Article","2023","Jul","PubMed",2024-01-29
"Siddell, S.G., Smith, D.B., Adriaenssens, E., Alfenas-Zerbini, P., Dutilh, B.E., Garcia, M.L., Junglen, S., Krupovic, M., Kuhn, J.H., Lambert, A.J., Lefkowitz, E.J., Lobocka, M., Mushegian, A.R., Oksanen, H.M., Robertson, D.L., Rubino, L., Sabanadzovic, S., Simmonds, P., Suzuki, N., Van Doorslaer, K., Vandamme, A., Varsani, A., Zerbini, F.M.","Virus taxonomy and the role of the International Committee on Taxonomy of Viruses  (ICTV).","The Journal of general virology","5","104",NA,"10.1099/jgv.0.001840 [doi]","10.1099/jgv.0.001840","Journal Article","2023","May","PubMed",2024-01-29
"Michikawa, A., Okada, M., Ikeda, T.M., Nagaki, K., Yoshida, K., Takumi, S.","Phenotypic effects of Am genomes in nascent synthetic hexaploids derived from  interspecific crosses between durum and wild einkorn wheat.","PloS one","4","18","e0284408","10.1371/journal.pone.0284408 [doi]","10.1371/journal.pone.0284408","Journal Article","2023","","PubMed",2024-01-29
"Iida, J., Desaki, Y., Hata, K., Uemura, T., Yasuno, A., Islam, M., Maffei, M.E., Ozawa, R., Nakajima, T., Galis, I., Arimura, G.","Corrigendum.","The New phytologist","6","238","2698-2699","10.1111/nph.18832 [doi]","10.1111/nph.18832","Published Erratum","2023","Jun","PubMed",2024-01-29
"Sato, M., Seki, M., Suzuki, Y., Ueki, S.","The dataset of de novo assembly and inferred functional annotation of the  transcriptome of Heterosigma akashiwo, a bloom-forming, cosmopolitan  raphidophyte.","Data in brief",NA,"48","109071","10.1016/j.dib.2023.109071 [doi]","10.1016/j.dib.2023.109071","Journal Article","2023","Jun","PubMed",2024-01-29
"Mori, I.C., Matsuura, T., Otao, M., Ooi, L., Nishimura, Y., Hirayama, T.","Application of Trehalose Mitigates Short-Styled Flowers in Solanaceous Crops.","Journal of agricultural and food chemistry","14","71","5476-5482","10.1021/acs.jafc.2c08479 [doi]","10.1021/acs.jafc.2c08479","Journal Article","2023","Apr 12","PubMed",2024-01-29
"Matsushima, R., Hisano, H., Galis, I., Miura, S., Crofts, N., Takenaka, Y., Oitome, N.F., Ishimizu, T., Fujita, N., Sato, K.","FLOURY ENDOSPERM 6 mutations enhance the sugary phenotype caused by the loss of  ISOAMYLASE1 in barley.","TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik","4","136","94","10.1007/s00122-023-04339-5 [doi]","10.1007/s00122-023-04339-5","Journal Article","2023","Apr 3","PubMed",2024-01-29
"Furuta, T., Yamamoto, T., Ashikari, M.","GBScleanR: robust genotyping error correction using a hidden Markov model with  error pattern recognition.","Genetics","2","224",NA,"10.1093/genetics/iyad055 [doi]","10.1093/genetics/iyad055","Journal Article","2023","May 26","PubMed",2024-01-29
"Kondo, H., Sugahara, H., Fujita, M., Hyodo, K., Andika, I.B., Hisano, H., Suzuki, N.","Discovery and Genome Characterization of a Closterovirus from Wheat Plants with  Yellowing Leaf Symptoms in Japan.","Pathogens (Basel, Switzerland)","3","12",NA,"10.3390/pathogens12030358 [doi]","10.3390/pathogens12030358","Journal Article","2023","Feb 21","PubMed",2024-01-29
"Sakamoto, W., Takami, T.","Maternal plastid inheritance: two abating factors identified.","Trends in genetics : TIG","5","39","342-343","S0168-9525(23)00058-6 [pii]","10.1016/j.tig.2023.03.002","Journal Article","2023","May","PubMed",2024-01-29
"Konishi, N., Mitani-Ueno, N., Yamaji, N., Ma, J.F.","Polar localization of a rice silicon transporter requires isoleucine at both C-  and N-termini as well as positively charged residues.","The Plant cell","6","35","2232-2250","10.1093/plcell/koad073 [doi]","10.1093/plcell/koad073","Journal Article","2023","May 29","PubMed",2024-01-29
"Lv, H., Huo, S., Zhao, L., Zhang, H., Liu, Y., Liu, S., Tani, A., Wang, R.","Preparation and application of cinnamon-Litsea cubeba compound essential oil  microcapsules for peanut kernel postharvest storage.","Food chemistry",NA,"415","135734","S0308-8146(23)00351-5 [pii]","10.1016/j.foodchem.2023.135734","Journal Article","2023","Jul 30","PubMed",2024-01-29
"Wang, H., Salaipeth, L., Miyazaki, N., Suzuki, N., Okamoto, K.","Capsid structure of a fungal dsRNA megabirnavirus reveals its previously  unidentified surface architecture.","PLoS pathogens","2","19","e1011162","10.1371/journal.ppat.1011162 [doi]","10.1371/journal.ppat.1011162","Journal Article","2023","Feb","PubMed",2024-01-29
"Morita, S., Tamba, N., Shibasaka, M., Sasano, S., Kadoike, T., Urase, Y., Maruyama, M., Fukuoka, A., Yanai, J., Masumura, T., Ogihara, Y., Satoh, S., Tanaka, K., Katsuhara, M., Nakayama, H.","In planta evidence that the HAK transporter OsHAK2 is involved in Na+ transport  in rice.","Bioscience, biotechnology, and biochemistry","5","87","482-490","10.1093/bbb/zbad020 [doi]","10.1093/bbb/zbad020","Journal Article","2023","Apr 24","PubMed",2024-01-29
"Hirano, T., Okamoto, A., Oda, Y., Sakamoto, T., Takeda, S., Matsuura, T., Ikeda, Y., Higaki, T., Kimura, S., Sato, M.H.","Ab-GALFA, A bioassay for insect gall formation using the model plant Arabidopsis  thaliana.","Scientific reports","1","13","2554","10.1038/s41598-023-29302-8 [doi]","10.1038/s41598-023-29302-8","Journal Article","2023","Feb 13","PubMed",2024-01-29
"Simmonds, P., Adriaenssens, E.M., Zerbini, F.M., Abrescia, N.G.A., Aiewsakun, P., Alfenas-Zerbini, P., Bao, Y., Barylski, J., Drosten, C., Duffy, S., Duprex, W.P., Dutilh, B.E., Elena, S.F., Garcia, M.L., Junglen, S., Katzourakis, A., Koonin, E.V., Krupovic, M., Kuhn, J.H., Lambert, A.J., Lefkowitz, E.J., Lobocka, M., Lood, C., Mahony, J., Meier-Kolthoff, J.P., Mushegian, A.R., Oksanen, H.M., Poranen, M.M., Reyes-Munoz, A., Robertson, D.L., Roux, S., Rubino, L., Sabanadzovic, S., Siddell, S., Skern, T., Smith, D.B., Sullivan, M.B., Suzuki, N., Turner, D., Van Doorslaer, K., Vandamme, A., Varsani, A., Vasilakis, N.","Four principles to establish a universal virus taxonomy.","PLoS biology","2","21","e3001922","10.1371/journal.pbio.3001922 [doi]","10.1371/journal.pbio.3001922","Journal Article","2023","Feb","PubMed",2024-01-29
"Sato, Y., Das, S., Velasco, L., Turina, M., Osaki, H., Kotta-Loizou, I., Coutts, R.H.A., Kondo, H., Sabanadzovic, S., Suzuki, N., Ictv Report Consortium, NA.","ICTV Virus Taxonomy Profile: Yadokariviridae 2023.","The Journal of general virology","1","104",NA,"10.1099/jgv.0.001826 [doi]","10.1099/jgv.0.001826","Journal Article","2023","Jan","PubMed",2024-01-29
"Sato, Y., Turina, M., Chiba, S., Okada, R., Bhatti, M.F., Kotta-Loizou, I., Coutts, R.H.A., Kondo, H., Sabanadzovic, S., Suzuki, N., Ictv Report Consortium, NA.","ICTV Virus Taxonomy Profile: Hadakaviridae 2023.","The Journal of general virology","1","104",NA,"10.1099/jgv.0.001820 [doi]","10.1099/jgv.0.001820","Journal Article","2023","Jan","PubMed",2024-01-29
"Akiyama, K., Ozawa, S., Takahashi, Y., Yoshida, K., Suzuki, T., Kondo, K., Wakabayashi, K., Hisabori, T.","Two specific domains of the gamma subunit of chloroplast F(o)F(1) provide redox  regulation of the ATP synthesis through conformational changes.","Proceedings of the National Academy of Sciences of the United States of America","6","120","e2218187120","10.1073/pnas.2218187120 [doi]","10.1073/pnas.2218187120","Journal Article","2023","Feb 7","PubMed",2024-01-29
"Degu, H.D., Tehelku, T.F., Kalousova, M., Sato, K.","Genetic diversity and population structure of barley landraces from Southern  Ethiopia's Gumer district: Utilization for breeding and conservation.","PloS one","1","18","e0279737","10.1371/journal.pone.0279737 [doi]","10.1371/journal.pone.0279737","Journal Article","2023","","PubMed",2024-01-29
